,ID,Center,Resolution,WSI,Node,Class,Image_path
0,1,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_6.jpg
1,2,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_26.jpg
2,3,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_44.jpg
3,4,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_11.jpg
4,5,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_36.jpg
5,6,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_12.jpg
6,7,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_21.jpg
7,8,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_34.jpg
8,9,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_27.jpg
9,10,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_13.jpg
10,11,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_14.jpg
11,12,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_5.jpg
12,13,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_20.jpg
13,14,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_35.jpg
14,15,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_19.jpg
15,16,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_43.jpg
16,17,nandafuyi,4x,5-XB23-04253-4X,5-XB23-04253-4X,bf_micro,jingxia_patches_use7_23/nandafuyi/bf-micro/4x/5-XB23-04253-4X/patch_4.jpg
