ID,Center,Resolution,WSI,Node,Class,Image_path,Label
1066,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_28.jpg,1
1067,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_11.jpg,1
1068,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_3.jpg,1
1069,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_25.jpg,1
1070,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_34.jpg,1
1071,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_18.jpg,1
1072,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_42.jpg,1
1073,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_27.jpg,1
1074,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_35.jpg,1
1075,nandafuyi,4x,1-X200142-4X,1-X200142-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/1-X200142-4X/patch_19.jpg,1
1076,nandafuyi,4x,9-X140230-4X,9-X140230-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/9-X140230-4X/patch_28.jpg,1
1077,nandafuyi,4x,9-X140230-4X,9-X140230-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/9-X140230-4X/patch_19.jpg,1
1078,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_26.jpg,1
1079,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_28.jpg,1
1080,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_36.jpg,1
1081,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_25.jpg,1
1082,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_18.jpg,1
1083,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_29.jpg,1
1084,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_27.jpg,1
1085,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_20.jpg,1
1086,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_35.jpg,1
1087,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_37.jpg,1
1088,nandafuyi,4x,6-X155926-4X,6-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/6-X155926-4X/patch_19.jpg,1
1089,nandafuyi,4x,8-X148792-4X,8-X148792-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/8-X148792-4X/patch_12.jpg,1
1090,nandafuyi,4x,8-X148792-4X,8-X148792-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/8-X148792-4X/patch_20.jpg,1
1091,nandafuyi,4x,4-X196972-4X,4-X196972-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/4-X196972-4X/patch_28.jpg,1
1092,nandafuyi,4x,10-X125877-4X,10-X125877-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/10-X125877-4X/patch_27.jpg,1
1093,nandafuyi,4x,10-X125877-4X,10-X125877-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/10-X125877-4X/patch_20.jpg,1
1094,nandafuyi,4x,2-X088468-4X,2-X088468-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/2-X088468-4X/patch_19.jpg,1
1095,nandafuyi,4x,7-X155926-4X,7-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/7-X155926-4X/patch_28.jpg,1
1096,nandafuyi,4x,7-X155926-4X,7-X155926-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/7-X155926-4X/patch_27.jpg,1
1097,nandafuyi,4x,5-X132727-4X,5-X132727-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/5-X132727-4X/patch_35.jpg,1
1098,nandafuyi,4x,3-X194337-4X,3-X194337-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/3-X194337-4X/patch_28.jpg,1
1099,nandafuyi,4x,3-X194337-4X,3-X194337-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/3-X194337-4X/patch_36.jpg,1
1100,nandafuyi,4x,3-X194337-4X,3-X194337-4X,ffpe_micro,jingxia_patches_use/nandafuyi/ffpe-micro/4x/3-X194337-4X/patch_19.jpg,1
1175,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_38.jpg,0
1176,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_31.jpg,0
1177,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_7.jpg,0
1178,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_6.jpg,0
1179,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_26.jpg,0
1180,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_28.jpg,0
1181,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_46.jpg,0
1182,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_44.jpg,0
1183,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_1.jpg,0
1184,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_11.jpg,0
1185,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_36.jpg,0
1186,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_3.jpg,0
1187,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_12.jpg,0
1188,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_21.jpg,0
1189,nandafuyi,4x,7-1256982-4X,7-1256982-4X,ffpe_normal,jingxia_patches_use/nandafuyi/ffpe-negative/4x/7-1256982-4X/patch_45.jpg,0
